,uf,id_municipio,nome_municipio,ideb_2017,aluno_turma,hora_aula,prof_cs,aprovacao,reprovacao,abandono,distorcao,promocao,repetencia,evasao,migracao_eja
1403,PB,2516755,Tenório,4.0,26.3,4.3,100.0,89.6,3.9,6.5,48.1,76.9,3.8,7.7,11.6
1404,PB,2516805,Triunfo,3.4,22.8,4.8,85.0,75,10.4,14.6,41.6,69.7,10.9,12,7.4
1405,PB,2516904,Uiraúna,2.9,22.2,4.7,80.0,82,7.6,10.4,31.8,81.1,13.6,4.1,1.2
1406,PB,2517001,Umbuzeiro,2.9,28.8,4.8,92.0,89,9.7,1.3,44.7,72.8,13.4,11.2,2.6
1407,PB,2517100,Várzea,3.7,14.5,4.6,90.0,81.1,13.3,5.6,40.2,79.1,12.1,6.6,2.2
1408,PB,2517209,Vieirópolis,4.0,23.2,4.8,88.9,89.4,6.2,4.4,25.9,87.1,6.9,4.3,1.7
1409,PB,2517407,Zabelê,3.2,21.0,4.7,88.9,77.5,2,20.5,37.1,64.6,7.1,17.2,11.1
1410,PE,2600054,Abreu e Lima,3.8,36.9,6.0,100.0,93.2,6.8,0,28.8,80.1,8,5.7,6.2
1411,PE,2600104,Afogados da Ingazeira,4.1,32.8,6.6,97.1,97.3,2.7,0,22,86.4,3.8,6.8,3
1412,PE,2600203,Afrânio,4.0,33.2,6.1,97.5,95.3,3.1,1.6,26.2,90.2,2.5,4.2,3.1
1413,PE,2600302,Agrestina,3.8,37.5,8.7,100.0,85,11.3,3.7,30.4,74.7,7.5,9.7,8.1
1414,PE,2600401,Água Preta,3.8,36.5,7.3,100.0,95.4,4.4,0.2,39,79.2,6.2,9.2,5.4
1415,PE,2600500,Águas Belas,3.8,37.4,5.2,92.7,87.3,8.8,3.9,45.4,73.2,7.1,11.9,7.8
1416,PE,2600609,Alagoinha,4.2,33.8,7.7,100.0,90.4,9.6,0,29.8,93.1,2.9,3.4,0.6
1417,PE,2600708,Aliança,3.9,35.1,6.2,94.4,93.5,4.3,2.2,36.7,87.5,3.5,5.3,3.7
1418,PE,2600807,Altinho,4.0,39.8,6.7,87.2,92.6,6.4,1,36,89.6,4.1,5.5,0.8
1419,PE,2600906,Amaraji,4.3,36.5,9.5,100.0,92.3,7.7,0,28.6,81,7.1,6,5.9
1420,PE,2601003,Angelim,3.7,35.3,7.6,100.0,82.2,16.3,1.5,41.9,73.7,6.4,12.3,7.6
1421,PE,2601052,Araçoiaba,3.7,41.9,8.9,100.0,94.9,3,2.1,21.9,80.8,2.1,6.2,10.9
1422,PE,2601102,Araripina,4.3,33.2,6.6,89.1,92.1,4.4,3.5,25.9,85.4,3.6,8.3,2.7
1423,PE,2601201,Arcoverde,4.3,34.8,7.6,97.3,96.9,3.1,0,28.1,86.8,4.5,5.6,3.1
1424,PE,2601300,Barra de Guabiraba,3.2,38.1,8.5,93.3,88.4,11.3,0.3,21.7,87.4,7.5,2.5,2.6
1425,PE,2601409,Barreiros,3.6,33.9,8.2,98.9,86.4,10.4,3.2,33.1,79.8,11.5,6.9,1.8
1426,PE,2601508,Belém de Maria,3.9,34.5,7.0,100.0,96.3,3.7,0,31.5,86.9,5.3,5.1,2.7
1427,PE,2601607,Belém do São Francisco,4.5,23.7,6.3,86.2,92.5,5.3,2.2,44.1,82.8,6,9,2.2
1428,PE,2601706,Belo Jardim,4.0,35.6,6.5,98.3,88.6,10.7,0.7,42.9,80.7,7.9,6.9,4.5
1429,PE,2601805,Betânia,3.6,41.2,7.4,100.0,86.2,13.8,0,32.5,88.9,3.5,6.9,0.7
1430,PE,2601904,Bezerros,4.4,36.8,7.4,91.3,90.9,8.5,0.6,26.6,84,6.1,7.6,2.3
1431,PE,2602001,Bodocó,4.2,29.8,5.2,85.7,90.2,5.8,4,23.4,82.3,4.5,5.5,7.7
1432,PE,2602100,Bom Conselho,3.7,36.7,6.1,96.4,87.7,9.3,3,43.1,77.8,8.5,8.2,5.5
1433,PE,2602209,Bom Jardim,4.3,37.3,7.4,100.0,92.2,7.8,0,25.8,86.2,6.4,6.3,1.1
1434,PE,2602308,Bonito,4.2,39.1,9.0,95.0,95.4,4.6,0,27.2,84.7,3.7,7.5,4.1
1435,PE,2602407,Brejão,4.4,34.7,9.5,100.0,96.3,3.7,0,30.5,86.4,2.6,5.8,5.2
1436,PE,2602506,Brejinho,4.3,38.2,9.5,100.0,92.4,1.3,6.3,25.3,82.1,3,8.9,6
1437,PE,2602605,Brejo da Madre de Deus,3.6,42.7,6.4,97.6,79.8,11,9.2,31.9,76.2,7.3,9.8,6.7
1438,PE,2602704,Buenos Aires,3.4,33.9,7.2,100.0,96.5,3.5,0,21.2,87.2,3,7.4,2.4
1439,PE,2602803,Buíque,3.9,36.2,7.0,92.7,94.8,4.9,0.3,38.5,84.1,5.2,8.5,2.2
1440,PE,2602902,Cabo de Santo Agostinho,4.0,35.3,5.5,98.4,97.3,2.5,0.2,29.6,85.2,3.8,7.4,3.6
1441,PE,2603009,Cabrobó,4.1,30.2,6.1,67.0,95.4,3.6,1,22.1,90.2,3,5.1,1.7
1442,PE,2603108,Cachoeirinha,3.7,41.8,9.2,88.9,71.4,22.1,6.5,22.4,67,15.1,12.9,5
1443,PE,2603207,Caetés,4.0,38.4,5.9,85.7,92.5,6.8,0.7,32.9,87.7,3.3,6.3,2.7
1444,PE,2603306,Calçado,4.1,40.6,8.8,100.0,89.3,9.4,1.3,28.3,81.7,6.2,9.6,2.5
1445,PE,2603405,Calumbi,3.4,37.7,9.5,100.0,80.5,14.9,4.6,22.1,76.8,9.4,8.9,4.9
1446,PE,2603454,Camaragibe,3.7,35.4,5.6,98.0,92.7,6,1.3,30.1,84.3,4.7,6.8,4.2
1447,PE,2603504,Camocim de São Félix,4.5,39.2,9.2,100.0,95,5,0,33,82.6,3.3,7.6,6.5
1448,PE,2603603,Camutanga,3.5,33.5,9.5,100.0,90.1,6.7,3.2,35.4,80.2,5.6,7.5,6.7
1449,PE,2603702,Canhotinho,4.0,39.6,7.0,100.0,93.7,6.3,0,32.3,77.7,8,10.5,3.8
1450,PE,2603801,Capoeiras,4.1,40.4,8.7,100.0,91.3,4.5,4.2,29.2,85.5,4.7,6.8,3
1451,PE,2603900,Carnaíba,4.6,32.9,7.3,88.9,90.5,3,6.5,13.5,85.8,3.7,7.6,2.9
1452,PE,2604007,Carpina,4.4,37.0,7.4,99.3,94.3,5.3,0.4,21,87,3.8,5.4,3.8
1453,PE,2604106,Caruaru,4.1,40.6,6.7,97.2,88.3,9.8,1.9,34.6,77.1,7.9,9.5,5.5
1454,PE,2604155,Casinhas,4.1,32.0,9.0,100.0,99.4,0.6,0,22,92.9,0.6,5.3,1.2
1455,PE,2604205,Catende,3.5,31.6,8.1,100.0,89.8,9.3,0.9,38.9,75.6,7.2,11.7,5.5
1456,PE,2604304,Cedro,3.9,35.0,7.4,100.0,92.5,0.5,7,28.8,88.6,2.1,7.1,2.2
1457,PE,2604403,Chã de Alegria,3.5,42.3,9.1,93.3,97.9,2.1,0,26.6,86.1,1.3,7.2,5.4
1458,PE,2604502,Chã Grande,4.0,38.5,8.2,95.7,96.8,3.2,0,27,87.1,3.5,5.9,3.5
1459,PE,2604601,Condado,3.5,35.3,6.5,100.0,87,8.6,4.4,37.6,82.4,7.8,5.9,3.9
1460,PE,2604700,Correntes,4.4,34.4,7.0,100.0,92.7,7.3,0,39.5,81.3,7.1,5.5,6.1
1461,PE,2604809,Cortês,4.1,42.4,9.5,100.0,97.2,2.8,0,26.5,83.4,2.3,7.2,7.1
1462,PE,2604908,Cumaru,4.4,38.3,9.5,100.0,96.6,3.4,0,22.7,89,3,5.4,2.6
1463,PE,2605004,Cupira,4.3,39.4,6.1,90.9,94.7,5.3,0,33.2,80.2,4.9,8.6,6.3
1464,PE,2605103,Custódia,4.0,38.3,6.8,97.6,94.5,5.5,0,29.4,87.5,4,7.5,1
1465,PE,2605152,Dormentes,4.8,36.9,7.8,92.6,99.6,0.4,0,19,91,1.4,4.9,2.7
1466,PE,2605202,Escada,3.6,35.6,7.6,95.0,95.1,3,1.9,35.9,84.5,1.9,7.8,5.8
1467,PE,2605301,Exu,4.0,30.6,5.9,89.7,90.7,3.8,5.5,27.7,86.9,3.6,8,1.5
1468,PE,2605400,Feira Nova,4.5,36.8,6.3,97.3,98.1,1.9,0,22.5,91.2,4.5,3.8,0.5
1469,PE,2605459,Fernando de Noronha,4.4,16.8,8.0,91.7,92.2,1.6,6.2,25,86,2,12,0
1470,PE,2605509,Ferreiros,3.8,33.3,9.5,93.8,91.2,5.8,3,22.3,85.8,4.3,5.6,4.3
1471,PE,2605608,Flores,4.5,35.1,5.6,94.3,93.6,5.4,1,27.1,86.9,2.8,6.8,3.5
1472,PE,2605707,Floresta,4.2,27.1,5.3,79.5,92.3,4.6,3.1,41.3,82.4,6.5,7.6,3.5
1473,PE,2605806,Frei Miguelinho,4.5,36.3,5.6,100.0,95.7,3.6,0.7,30.7,84.1,5.9,9.3,0.7
1474,PE,2605905,Gameleira,2.9,36.6,9.2,100.0,78.2,21.7,0.1,36.9,69.5,17.9,9.2,3.4
1475,PE,2606002,Garanhuns,4.3,35.9,6.2,98.6,91.1,6,2.9,31.4,80.4,7.2,7.2,5.2
1476,PE,2606101,Glória do Goitá,4.2,34.8,9.5,100.0,99.4,0.6,0,24,91.1,2.6,4.6,1.7
1477,PE,2606200,Goiana,3.7,38.9,7.1,97.6,92.5,6,1.5,27.8,87,4.6,4.9,3.5
1478,PE,2606309,Granito,4.1,27.8,8.2,90.5,90.8,9.2,0,19.3,91.8,4.3,3.9,0
1479,PE,2606408,Gravatá,4.4,39.2,8.3,97.6,97.6,2.1,0.3,29.1,87.8,2.3,7.3,2.6
1480,PE,2606507,Iati,3.4,42.8,7.1,100.0,78.9,11.3,9.8,48,72.5,8.1,18.2,1.2
1481,PE,2606606,Ibimirim,4.4,35.3,6.0,91.1,93.8,6,0.2,32.4,86.7,5.1,8,0.2
1482,PE,2606705,Ibirajuba,3.7,29.7,8.8,90.9,90.4,9.6,0,30.3,77.6,4.1,16.3,2
1483,PE,2606804,Igarassu,3.9,37.9,6.2,97.0,93.7,6,0.3,27.6,79.7,9.1,6.9,4.3
1484,PE,2606903,Iguaracy,3.9,30.6,7.6,100.0,92.4,5,2.6,23.9,88.7,1.6,6.1,3.6
1485,PE,2607000,Inajá,3.7,38.0,7.1,88.1,94.2,2.8,3,46.3,85.5,6,8.3,0.2
1486,PE,2607109,Ingazeira,3.6,26.2,7.5,100.0,91.6,0.8,7.6,10.2,95.5,2.2,2.3,0
1487,PE,2607208,Ipojuca,3.9,39.6,6.7,98.3,97.6,2.2,0.2,27,83.6,2.1,10.2,4.1
1488,PE,2607307,Ipubi,4.2,35.4,4.9,90.7,96.2,2.1,1.7,30.3,86.1,3,8.5,2.4
1489,PE,2607505,Itaíba,4.3,30.4,7.4,96.9,93.7,6.3,0,27.1,84.9,4.1,8.6,2.4
1490,PE,2607604,Ilha de Itamaracá,4.3,34.7,6.3,100.0,94.5,2.6,2.9,23.1,77.8,3.1,10.4,8.7
1491,PE,2607653,Itambé,4.3,37.9,5.8,100.0,89.3,9.9,0.8,25.9,83.6,8,3.9,4.5
1492,PE,2607703,Itapetim,4.7,43.4,9.8,86.7,93.4,2.6,4,14.5,86.2,2,5.6,6.2
1493,PE,2607752,Itapissuma,3.9,40.0,6.7,98.0,92.9,6.9,0.2,26.5,77.6,8.5,3.8,10.1
1494,PE,2607802,Itaquitinga,3.5,28.2,6.0,94.1,88.8,4.7,6.5,31.2,87.8,4.7,3.9,3.6
1495,PE,2607901,Jaboatão dos Guararapes,4.0,35.5,6.0,98.9,94.7,4.9,0.4,30.5,82.5,4.7,7.6,5.2
1496,PE,2607950,Jaqueira,3.9,34.8,9.2,100.0,89.4,8.5,2.1,41.2,73.6,8.8,11.8,5.8
1497,PE,2608008,Jataúba,4.7,38.3,9.5,100.0,99,1,0,27.4,86.7,1,5.5,6.8
1498,PE,2608057,Jatobá,3.1,24.5,7.4,54.0,83.6,5.8,10.6,32.5,79.6,8.7,9.2,2.5
1499,PE,2608107,João Alfredo,4.4,35.6,7.0,100.0,97.4,2.6,0,21.4,91.6,2.6,3.5,2.3
1500,PE,2608206,Joaquim Nabuco,3.9,38.2,9.5,95.2,91.4,8.3,0.3,29.3,72.1,7.9,12.7,7.3
1501,PE,2608255,Jucati,4.9,39.4,9.5,94.1,98.6,1.4,0,28.9,84.6,2.5,7.2,5.7
1502,PE,2608305,Jupi,5.0,40.3,9.5,100.0,97.7,2.1,0.2,22.6,87.7,1.7,6.6,4
1503,PE,2608404,Jurema,4.0,35.8,7.6,95.7,90.4,9.6,0,36.3,82.8,3.6,11.5,2.1
1504,PE,2608453,Lagoa do Carro,3.6,38.9,9.5,100.0,92.3,5,2.7,19.1,84,5.8,6.6,3.6
1505,PE,2608503,Lagoa de Itaenga,4.1,38.7,7.1,100.0,94.1,5.3,0.6,33.6,88.8,3.3,7,0.9
1506,PE,2608602,Lagoa do Ouro,4.4,33.5,9.5,89.5,93.4,5.1,1.5,33.1,85.1,4.6,5.4,4.9
1507,PE,2608701,Lagoa dos Gatos,3.5,34.5,9.5,100.0,92.6,7.4,0,26.1,85.6,5.5,5.7,3.2
1508,PE,2608750,Lagoa Grande,3.7,37.8,6.0,84.6,84.8,10.9,4.3,25.7,80.1,7.6,9.1,3.2
1509,PE,2608800,Lajedo,4.3,37.1,6.5,89.8,87.6,10.1,2.3,25.7,77,7.6,9.4,6
1510,PE,2608909,Limoeiro,4.5,38.0,6.6,97.3,94.4,5,0.6,25.4,86.2,4.9,6.5,2.4
1511,PE,2609006,Macaparana,4.5,36.8,6.0,100.0,98.1,1.9,0,22.6,89.2,3.3,5.5,2
1512,PE,2609105,Machados,4.4,40.8,9.5,92.9,96.6,3.4,0,19.4,85.9,3.2,8.1,2.8
1513,PE,2609154,Manari,3.5,44.2,8.2,95.8,98,2,0,30,87.8,3.7,8.2,0.3
1514,PE,2609204,Maraial,3.8,30.3,4.4,100.0,92.4,5.1,2.5,31.4,82.2,3.2,4.6,10
1515,PE,2609303,Mirandiba,3.7,36.5,6.1,91.2,94.3,5,0.7,28.3,90.1,3.5,5.9,0.5
1516,PE,2609402,Moreno,3.9,33.4,6.5,98.6,95.9,3.7,0.4,25.1,80.7,4.9,4.9,9.5
1517,PE,2609501,Nazaré da Mata,4.7,33.8,6.1,100.0,94.9,5.1,0,21.3,88.5,5.3,3.9,2.3
1518,PE,2609600,Olinda,3.8,34.5,5.7,99.3,93,6.4,0.6,36.9,76.3,9.3,8.2,6.2
1519,PE,2609709,Orobó,4.5,36.2,8.4,93.9,96.7,3.3,0,15.9,90,3,6.4,0.6
1520,PE,2609808,Orocó,3.5,38.6,7.2,90.9,92,6.7,1.3,17.4,83.7,6.9,4.9,4.5
1521,PE,2609907,Ouricuri,3.5,35.0,5.3,93.8,90.1,7.7,2.2,34.6,84.8,4.5,9.2,1.5
1522,PE,2610004,Palmares,4.0,31.1,7.8,97.2,91.7,7.5,0.8,33.8,78.9,7.7,9.1,4.3
1523,PE,2610103,Palmeirina,3.7,27.7,8.6,100.0,96.2,3.8,0,30.1,89.2,2.4,6.8,1.6
1524,PE,2610202,Panelas,4.2,43.6,7.4,97.9,94.7,3.8,1.5,33.8,83.7,7.6,7.2,1.5
1525,PE,2610301,Paranatama,4.1,39.6,7.2,100.0,96.5,2.2,1.3,39.7,81,3.7,11.9,3.4
1526,PE,2610400,Parnamirim,3.9,36.8,6.0,72.5,97,3,0,20.6,93.2,1.8,4.9,0.1
1527,PE,2610509,Passira,4.1,37.1,5.4,95.5,95.5,4.5,0,22.1,89.9,3.1,5.8,1.2
1528,PE,2610608,Paudalho,3.7,34.0,6.7,97.9,89.5,5.8,4.7,30.5,83.5,4.9,6.2,5.4
1529,PE,2610707,Paulista,4.2,38.4,6.2,98.3,97.1,2.8,0.1,23.6,84.2,5.4,5.6,4.8
1530,PE,2610806,Pedra,3.8,32.1,6.2,93.5,97.7,2.3,0,41.6,85.6,2.8,10.3,1.3
1531,PE,2610905,Pesqueira,4.0,32.3,6.6,85.5,95.3,2.8,1.9,29.5,86.9,4.8,6.7,1.6
1532,PE,2611002,Petrolândia,4.1,30.5,6.2,87.2,95.8,2.9,1.3,25.3,80.1,9,8.1,2.8
1533,PE,2611101,Petrolina,3.9,33.8,5.4,91.0,87.4,9.9,2.7,30.3,80,7.4,8.1,4.5
1534,PE,2611200,Poção,4.6,35.0,8.8,100.0,97,3,0,32,88.1,2,5.7,4.2
1535,PE,2611309,Pombos,4.0,42.1,9.4,96.2,97.9,0.8,1.3,21.5,83.3,1,8,7.7
1536,PE,2611408,Primavera,3.5,25.9,9.0,100.0,85.1,11.8,3.1,34.1,72.6,8.3,10.1,9
1537,PE,2611507,Quipapá,3.8,39.9,8.2,100.0,90.7,4.7,4.6,31.1,79.3,4.1,11.9,4.7
1538,PE,2611533,Quixaba,5.4,33.0,6.0,100.0,95.8,2.1,2.1,10.5,92.7,1.6,3.4,2.3
1539,PE,2611606,Recife,4.2,37.5,6.7,97.8,92.7,6.5,0.8,28.7,83.3,6.8,6.6,3.3
1540,PE,2611705,Riacho das Almas,4.4,35.5,6.7,85.2,92.4,6.8,0.8,22.7,75.9,4.7,13.9,5.5
1541,PE,2611804,Ribeirão,3.7,37.0,9.1,100.0,84,13.7,2.3,34.6,73.2,8.5,8.9,9.4
1542,PE,2611903,Rio Formoso,3.8,30.0,7.7,100.0,87.9,6.9,5.2,36.1,77.7,7.5,9.8,5
1543,PE,2612000,Sairé,4.6,39.3,9.5,100.0,95.9,4.1,0,26.8,88,1.9,2.8,7.3
1544,PE,2612109,Salgadinho,4.5,29.8,8.0,100.0,98.7,1.3,0,25.8,96.1,1.7,2.2,0
1545,PE,2612208,Salgueiro,4.4,34.8,7.1,94.3,93.3,3.5,3.2,21.7,89.6,4,5.4,1
1546,PE,2612307,Saloá,4.1,33.1,7.6,100.0,97.4,2.6,0,34.4,83.5,3.1,9.4,4
1547,PE,2612406,Sanharó,4.4,37.3,7.9,100.0,97.4,2.6,0,21.3,87.7,4.5,6.5,1.3
1548,PE,2612455,Santa Cruz,4.1,39.5,9.5,84.2,91.6,2.8,5.6,24.8,90.6,2.5,5.9,1
1549,PE,2612471,Santa Cruz da Baixa Verde,4.4,30.2,8.0,100.0,91,7.8,1.2,21.1,86.5,4,8.3,1.2
1550,PE,2612505,Santa Cruz do Capibaribe,4.0,39.1,5.9,85.6,89.4,5.5,5.1,30.2,83.9,4.7,9.6,1.8
1551,PE,2612554,Santa Filomena,3.4,29.3,5.6,86.7,89.1,2.6,8.3,28.9,88.2,5.5,6.1,0.2
1552,PE,2612604,Santa Maria da Boa Vista,3.2,34.5,5.5,82.5,81.4,13.4,5.2,40.9,74.8,14.3,8.1,2.8
1553,PE,2612703,Santa Maria do Cambucá,4.9,37.9,9.5,91.7,95.5,4.5,0,20.5,90.4,5.6,3.3,0.7
1554,PE,2612802,Santa Terezinha,4.4,36.4,9.3,100.0,89.9,10.1,0,23.1,86.8,5.9,5.3,2
1555,PE,2612901,São Benedito do Sul,3.1,42.0,8.9,100.0,82.9,8.1,9,31.3,75.9,7.9,9.7,6.5
1556,PE,2613008,São Bento do Una,3.6,40.2,7.3,100.0,88.4,5.1,6.5,27.9,77.1,4.1,10.6,8.2
1557,PE,2613107,São Caitano,4.2,39.6,5.7,94.1,95.5,4.4,0.1,23.5,87.2,3.5,8,1.3
1558,PE,2613206,São João,4.0,40.9,7.7,100.0,88.1,11.9,0,44.2,82.5,6.2,7.7,3.6
1559,PE,2613305,São Joaquim do Monte,3.9,34.2,6.9,100.0,98.8,1,0.2,27.7,88,0.2,6.8,5
1560,PE,2613404,São José da Coroa Grande,3.9,32.5,8.5,98.0,95.5,4.1,0.4,28.1,86,6.9,5.1,2
1561,PE,2613503,São José do Belmonte,4.5,35.3,7.3,95.6,98.1,1.9,0,19.1,91,1.7,5.5,1.8
1562,PE,2613602,São José do Egito,4.8,35.8,8.3,95.5,97.5,1.5,1,15.8,94.1,0.9,3.6,1.4
1563,PE,2613701,São Lourenço da Mata,3.9,36.2,6.8,100.0,92.7,6.7,0.6,25.4,85,5.9,6,3.1
1564,PE,2613800,São Vicente Férrer,3.7,34.2,6.7,96.7,91.5,7.6,0.9,33.6,84.8,5.1,9.8,0.3
1565,PE,2613909,Serra Talhada,4.1,36.4,6.0,95.7,91.2,5.7,3.1,24.1,82.2,7.8,7.6,2.4
1566,PE,2614006,Serrita,4.1,36.4,7.4,96.2,99.7,0.3,0,22.4,94.3,0.5,5.1,0.1
1567,PE,2614105,Sertânia,4.1,31.4,7.4,97.2,97.5,2.5,0,25.9,89.6,5.7,4.3,0.4
1568,PE,2614204,Sirinhaém,3.6,31.0,7.6,100.0,92.3,7.4,0.3,37.4,81.5,4.8,8.7,5
1569,PE,2614303,Moreilândia,4.5,33.8,7.8,100.0,96.9,1.9,1.2,29.2,89.5,1.8,6.8,1.9
1570,PE,2614402,Solidão,4.7,28.4,9.5,100.0,94.2,5.8,0,23.9,87.1,1.4,7.1,4.4
1571,PE,2614501,Surubim,4.5,37.1,6.8,95.9,94.3,5.7,0,26.9,84.6,6.2,6.7,2.5
1572,PE,2614600,Tabira,4.3,36.8,6.2,100.0,89.7,9.3,1,23,85,2.8,10,2.2
1573,PE,2614709,Tacaimbó,3.9,31.3,7.3,96.0,89.6,9.3,1.1,25.5,79.3,7.4,10.2,3.1
1574,PE,2614808,Tacaratu,3.8,21.8,5.1,55.7,86.2,5.5,8.3,39.3,77.6,9.5,11.4,1.5
1575,PE,2614857,Tamandaré,4.3,46.1,9.5,100.0,94.8,4.8,0.4,30.7,80.6,5.4,6.1,7.9
1576,PE,2615003,Taquaritinga do Norte,3.8,36.6,5.9,90.0,90.6,4.6,4.8,26.3,85.6,3.7,10.1,0.6
1577,PE,2615102,Terezinha,4.3,36.0,9.5,100.0,96.7,2.5,0.8,34.5,88.9,3.6,6,1.5
1578,PE,2615201,Terra Nova,5.0,31.6,8.6,88.9,93.7,5.6,0.7,13.2,96.3,2.4,1.3,0
1579,PE,2615300,Timbaúba,4.6,38.3,8.1,98.2,93.8,5.2,1,25.4,88.2,3.7,6,2.1
1580,PE,2615409,Toritama,3.4,41.0,5.9,97.6,85.4,4.5,10.1,32.1,81.1,6,10.3,2.6
1581,PE,2615508,Tracunhaém,4.3,31.0,7.4,100.0,95.5,4.5,0,27.6,89.7,3.1,4.8,2.4
1582,PE,2615607,Trindade,4.0,38.4,6.6,94.2,92.8,2.9,4.3,28.7,87.5,2.3,8.2,2
1583,PE,2615706,Triunfo,4.7,35.1,7.9,100.0,88.5,8.1,3.4,20.3,83.5,7.5,6.3,2.7
1584,PE,2615805,Tupanatinga,4.0,38.0,8.4,100.0,94.7,5.3,0,36,90.8,2.3,6.9,0
1585,PE,2615904,Tuparetama,4.9,28.6,7.0,100.0,96.3,3.3,0.4,28.6,82.2,6.4,10.8,0.6
1586,PE,2616001,Venturosa,4.7,38.3,8.5,96.9,96.6,3.4,0,25.7,89.5,1.7,6.9,1.9
1587,PE,2616100,Verdejante,4.7,29.5,7.7,86.7,93.9,5.4,0.7,17.1,93,2.2,4.4,0.4
1588,PE,2616183,Vertente do Lério,4.7,29.8,9.5,100.0,97.6,2.4,0,19,90.6,2.2,6.7,0.5
1589,PE,2616209,Vertentes,5.3,37.4,8.8,100.0,94.9,5.1,0,9.4,88.7,3.6,6.7,1
1590,PE,2616308,Vicência,3.8,32.0,6.9,92.9,90.4,9.6,0,27.3,83.9,5.8,5.1,5.2
1591,PE,2616407,Vitória de Santo Antão,4.1,37.0,6.8,98.7,93.7,4.8,1.5,33.4,82.4,5.5,6.8,5.3
1592,PE,2616506,Xexéu,3.9,34.0,9.5,100.0,89.9,9.2,0.9,33.4,71.6,8.6,10.1,9.7
1593,AL,2700102,Água Branca,3.3,33.7,6.0,94.4,88.8,4.9,6.3,40,84.7,5.4,5.8,4.1
1594,AL,2700201,Anadia,3.1,35.0,4.4,94.7,79.9,7.1,13,42.3,70,6.7,13.6,9.7
1595,AL,2700300,Arapiraca,3.4,37.9,5.0,91.5,75.6,11.1,13.3,42.7,70.8,12.4,11.7,5.1
1596,AL,2700409,Atalaia,2.9,39.3,4.8,94.9,80.2,19.7,0.1,42.5,75.2,13,7.6,4.2
1597,AL,2700508,Barra de Santo Antônio,3.3,40.2,5.3,100.0,81.9,3,15.1,36.3,75.3,6.7,10.5,7.5
1598,AL,2700607,Barra de São Miguel,3.6,29.9,4.1,93.3,91.4,0.9,7.7,65.7,65.7,11.4,21.2,1.7
1599,AL,2700706,Batalha,2.8,45.5,5.0,85.0,67.8,18.9,13.3,31.2,52.7,27.9,12.8,6.6
1600,AL,2700805,Belém,3.4,30.2,5.2,90.9,93.8,6.2,0,29.8,89.7,4.9,2.7,2.7
1601,AL,2700904,Belo Monte,2.7,30.6,4.2,77.8,76.5,4.9,18.6,52.3,73.9,6.4,18.2,1.5
1602,AL,2701001,Boca da Mata,2.9,35.8,4.4,92.3,77.7,8.8,13.5,39.3,69.5,12.1,12.5,5.9
1603,AL,2701100,Branquinha,3.6,28.8,4.4,88.0,96.3,1.5,2.2,21.4,86.6,7,4.4,2
1604,AL,2701209,Cacimbinhas,3.6,34.4,4.2,100.0,92.6,1.3,6.1,39,86.3,3.5,5.4,4.8
1605,AL,2701308,Cajueiro,3.1,33.6,5.0,82.1,85.9,6.3,7.8,36.6,82.6,9.1,7.5,0.8
1606,AL,2701357,Campestre,3.1,30.8,4.6,100.0,87,4.3,8.7,40.5,80.5,2.1,10,7.4
1607,AL,2701407,Campo Alegre,3.3,36.7,4.8,83.8,82.6,5.7,11.7,42.8,72.3,10.1,11,6.6
1608,AL,2701605,Canapi,3.9,31.9,4.6,82.1,97.4,2.6,0,30.3,84.2,3.3,10.7,1.8
1609,AL,2701704,Capela,3.0,45.0,5.9,96.9,85.3,5.6,9.1,36,79.8,5.5,13.1,1.6
1610,AL,2701803,Carneiros,3.8,37.5,4.3,85.7,92.4,5.4,2.2,41.9,85.3,5.5,7.9,1.3
1611,AL,2701902,Chã Preta,3.4,33.7,5.2,91.7,90,4,6,28.2,84.9,2.4,9.3,3.4
1612,AL,2702009,Coité do Nóia,3.4,39.4,4.7,100.0,79,21,0,43.3,74,13.6,12,0.4
1613,AL,2702108,Colônia Leopoldina,3.6,42.1,5.0,100.0,90.3,1.8,7.9,47.1,84.7,3.7,8.3,3.3
1614,AL,2702207,Coqueiro Seco,3.1,28.5,5.0,100.0,81.3,6.3,12.4,29.8,76.2,5.7,6.6,11.5
1615,AL,2702306,Coruripe,3.0,32.6,4.4,99.1,80.9,8.4,10.7,29.1,76.9,7.3,12,3.8
1616,AL,2702355,Craíbas,2.7,38.2,3.7,93.3,71.5,1.3,27.2,60,70.3,8.9,15.8,5
1617,AL,2702405,Delmiro Gouveia,3.4,37.3,5.2,94.4,77.9,8,14.1,43.8,75.1,10.2,13.8,0.9
1618,AL,2702504,Dois Riachos,2.6,32.2,4.2,94.1,68.7,30.7,0.6,44.4,62.8,15,16.9,5.3
1619,AL,2702553,Estrela de Alagoas,3.5,33.3,5.2,88.2,93.7,3.8,2.5,31.5,87.4,4.7,5.9,2
1620,AL,2702603,Feira Grande,2.9,42.4,5.0,88.5,73.7,10.9,15.4,34.8,69.2,12.2,11,7.6
1621,AL,2702702,Feliz Deserto,2.8,24.3,4.7,100.0,78.5,6.3,15.2,52.1,76,11.6,12.4,0
1622,AL,2702900,Girau do Ponciano,3.1,35.9,5.0,90.9,81.8,5.5,12.7,51.3,73.9,8.7,13.2,4.2
1623,AL,2703007,Ibateguara,3.1,31.9,4.7,84.2,82,1.5,16.5,50.8,77.7,4.7,15.2,2.4
