,uf,id_municipio,nome_municipio,ideb_2017,aluno_turma,hora_aula,prof_cs,aprovacao,reprovacao,abandono,distorcao,promocao,repetencia,evasao,migracao_eja
48,RO,1101708,Urupá,4.1,27.3,4.0,100.0,91.9,4.4,3.7,28.4,79.5,2.6,9.7,8.2
49,RO,1101757,Vale do Anari,4.0,26.9,4.0,94.1,87.4,6.3,6.3,31.4,81.5,5.2,7.3,6
50,RO,1101807,Vale do Paraíso,4.0,22.7,4.0,100.0,90.8,5.3,3.9,32.7,81.9,3.6,10.8,3.7
51,AC,1200013,Acrelândia,3.6,31.9,5.8,90.3,79.7,14.1,6.2,41.3,69.5,15.3,11.5,3.7
52,AC,1200054,Assis Brasil,3.7,25.5,4.7,90.0,85,9.5,5.5,40.9,72.4,9.2,11.7,6.7
53,AC,1200104,Brasiléia,4.2,32.6,5.4,93.9,94.4,2.3,3.3,23.9,79.3,5.1,11.7,3.9
54,AC,1200138,Bujari,4.0,14.2,4.9,91.1,91,2.5,6.5,41.2,75.6,7.2,14.1,3.1
55,AC,1200179,Capixaba,3.6,30.8,5.3,100.0,85.5,5.5,9,27.2,76.7,3.2,8.7,11.4
56,AC,1200203,Cruzeiro do Sul,3.5,31.5,5.0,87.7,81.7,13.6,4.7,27.3,77.4,12.2,7.6,2.8
57,AC,1200252,Epitaciolândia,3.2,29.6,5.3,86.7,74.8,17.2,8,16.9,74.8,16.4,6.9,1.9
58,AC,1200302,Feijó,3.7,23.3,4.8,66.0,82.8,8.4,8.8,40.5,79.5,10.3,7.6,2.6
59,AC,1200336,Mâncio Lima,3.9,19.2,5.0,74.1,92.5,1.9,5.6,29.2,83.7,4,9.9,2.4
60,AC,1200344,Manoel Urbano,3.1,31.1,4.9,100.0,79.4,7.4,13.2,38.4,73.5,11.7,13.2,1.6
61,AC,1200385,Plácido de Castro,3.7,27.3,5.2,92.9,88.2,3.9,7.9,27.2,81.7,7.9,6.5,3.9
62,AC,1200393,Porto Walter,3.3,22.8,4.9,66.7,83,4.9,12.1,50.1,68.5,19.9,8.1,3.5
63,AC,1200401,Rio Branco,3.6,34.8,6.0,93.9,83.9,10.2,5.9,23.6,79.1,10.8,7,3.1
64,AC,1200427,Rodrigues Alves,3.7,17.7,4.6,71.0,90.7,1.4,7.9,36.6,83.8,5.9,8.1,2.2
65,AC,1200435,Santa Rosa do Purus,2.4,16.5,8.3,83.3,76.8,0.3,22.9,80.2,69.4,10.4,17,3.2
66,AC,1200450,Senador Guiomard,3.9,26.0,5.1,88.0,86.2,4.1,9.7,24.6,84.3,7.1,6.4,2.2
67,AC,1200500,Sena Madureira,3.5,25.7,4.7,82.3,79,6,15,33.7,74.3,13,11,1.7
68,AC,1200609,Tarauacá,3.5,23.0,5.0,72.7,85.3,7.8,6.9,43.1,74.5,9.9,12.1,3.5
69,AC,1200807,Porto Acre,3.7,23.6,5.0,92.0,88.3,5.6,6.1,36.6,77.3,7.1,12.9,2.7
70,AM,1300029,Alvarães,2.7,25.0,3.9,99.0,77.6,20.8,1.6,54.9,75.7,11.5,10.9,1.9
71,AM,1300060,Amaturá,3.0,20.9,3.9,95.0,85.4,14.3,0.3,61.9,83.6,9.9,6,0.5
72,AM,1300086,Anamã,3.0,19.4,4.3,100.0,89.2,0.6,10.2,40.5,87.5,4.5,7.8,0.2
73,AM,1300102,Anori,3.7,20.8,6.9,100.0,92.6,7.4,0,37.3,91.1,2.5,5.7,0.7
74,AM,1300144,Apuí,3.3,21.3,3.9,100.0,81.2,5,13.8,38.9,79.4,6.3,12.6,1.7
75,AM,1300300,Autazes,2.6,24.2,4.4,100.0,79.4,6.2,14.4,53.9,77.9,8.3,12.5,1.3
76,AM,1300409,Barcelos,3.3,19.3,4.0,100.0,84.8,3.8,11.4,47.9,81.1,6.7,10.8,1.4
77,AM,1300508,Barreirinha,2.4,24.7,4.7,99.6,74.1,12.7,13.2,51.7,77.7,8,13.8,0.5
78,AM,1300607,Benjamin Constant,2.7,24.6,4.1,87.1,88.2,5.9,5.9,43.7,85.7,5.2,8.4,0.7
79,AM,1300631,Beruri,2.8,27.8,4.4,99.0,88.8,3.3,7.9,63,84.6,5.9,9.1,0.4
80,AM,1300680,Boa Vista do Ramos,2.8,20.9,3.9,100.0,78.8,8.1,13.1,48.8,77.1,12.5,10.2,0.2
81,AM,1300706,Boca do Acre,3.2,22.6,4.6,99.1,88.8,4.4,6.8,35.1,84.8,3.8,11.1,0.3
82,AM,1300805,Borba,3.0,19.4,5.2,95.8,85.4,8.5,6.1,50.1,80.4,6.5,12.4,0.7
83,AM,1300839,Caapiranga,3.1,18.9,3.9,98.9,85.9,8.3,5.8,50,85,5.2,9.1,0.7
84,AM,1300904,Canutama,3.3,23.4,4.1,100.0,88.1,3.3,8.6,47.9,84.7,5.4,5.4,4.5
85,AM,1301001,Carauari,3.4,27.6,5.4,98.4,87.6,6.2,6.2,35.3,86,5.3,6.9,1.8
86,AM,1301100,Careiro,3.2,22.8,4.1,100.0,85.5,4,10.5,50.2,83.1,5.8,10.2,0.9
87,AM,1301159,Careiro da Várzea,3.2,18.6,3.7,100.0,87.5,1.8,10.7,50.2,85.2,5.4,8.6,0.8
88,AM,1301209,Coari,3.0,25.6,4.9,98.7,84.8,8.6,6.6,52.2,81.1,7.7,10.5,0.7
89,AM,1301308,Codajás,3.1,25.4,4.0,100.0,78.6,12.9,8.5,48.1,77.4,12.7,7.6,2.3
90,AM,1301407,Eirunepé,3.1,31.6,5.1,100.0,86.1,8.3,5.6,39.6,84,12,3.1,0.9
91,AM,1301506,Envira,3.8,28.2,4.0,100.0,94.4,4,1.6,25.8,93.4,2.2,2,2.4
92,AM,1301605,Fonte Boa,2.5,19.3,4.7,99.3,76.4,12.3,11.3,48.4,75.4,12.6,11.6,0.4
93,AM,1301654,Guajará,3.2,23.7,3.9,98.4,83.5,6.8,9.7,38.4,82.7,9.5,6.5,1.3
94,AM,1301704,Humaitá,3.3,26.2,4.7,99.1,84,8.7,7.3,43.1,82.9,6.8,8.5,1.8
95,AM,1301803,Ipixuna,3.0,24.1,3.7,98.5,86.9,6.1,7,53.8,86.1,8.6,4.4,0.9
96,AM,1301852,Iranduba,3.1,22.8,4.7,100.0,85.8,6.2,8,55,84.9,7.2,7.1,0.8
97,AM,1301902,Itacoatiara,3.3,25.6,4.0,99.1,86.9,5.6,7.5,46.2,83.8,7,7.9,1.3
98,AM,1301951,Itamarati,3.3,27.8,7.2,100.0,88.9,6.7,4.4,38,86.3,5.8,5.5,2.4
99,AM,1302009,Itapiranga,3.2,28.0,6.1,100.0,81,6.6,12.4,45.4,80.5,11.5,6.8,1.2
100,AM,1302108,Japurá,2.4,14.1,3.2,100.0,83,2.2,14.8,66.6,80.4,4.7,12.3,2.6
101,AM,1302207,Juruá,2.7,27.4,3.0,100.0,76.5,12,11.5,66.7,77.9,7.7,11.7,2.7
102,AM,1302306,Jutaí,2.8,27.6,4.0,100.0,79.5,7.9,12.6,68.4,77.9,11.1,8.4,2.6
103,AM,1302405,Lábrea,2.8,24.4,4.0,100.0,85.1,2.7,12.2,54.6,84.7,4.8,8.7,1.8
104,AM,1302504,Manacapuru,3.2,27.3,4.4,99.4,84.2,7.3,8.5,39.1,82.9,6.1,10.1,0.9
105,AM,1302553,Manaquiri,2.8,19.4,3.8,100.0,88.2,7.5,4.3,50.3,84.6,6.6,8.5,0.3
106,AM,1302603,Manaus,3.3,38.4,4.6,99.8,82.4,7.2,10.4,40.6,80.9,9.4,8.7,1
107,AM,1302702,Manicoré,3.1,23.8,4.2,100.0,81.3,5.1,13.6,44.4,79,7.2,10.7,3.1
108,AM,1302801,Maraã,2.4,18.0,3.7,100.0,74,25,1,69.5,71.3,11.6,14.3,2.8
109,AM,1302900,Maués,2.5,25.8,4.3,100.0,74.5,14.7,10.8,61.6,74.3,12.3,12.7,0.7
110,AM,1303007,Nhamundá,3.2,21.0,5.7,100.0,93.8,2.8,3.4,37.6,92.6,2.3,4.2,0.9
111,AM,1303106,Nova Olinda do Norte,2.5,26.7,3.8,100.0,77.7,10.4,11.9,56.8,75.5,14.3,9.9,0.3
112,AM,1303205,Novo Airão,3.2,28.6,5.5,100.0,87.6,4.9,7.5,49.1,85.4,5.7,8.6,0.3
113,AM,1303304,Novo Aripuanã,3.2,29.5,3.8,100.0,86.3,5,8.7,49.8,84.5,6.7,7.3,1.5
114,AM,1303403,Parintins,3.5,24.0,4.6,100.0,91.2,2.8,6,30.8,88.6,4.3,6.6,0.5
115,AM,1303502,Pauini,2.6,33.0,3.9,100.0,78.4,8.3,13.3,57.9,77.3,9.6,12.2,0.9
116,AM,1303536,Presidente Figueiredo,3.1,26.8,5.4,99.0,79,8.3,12.7,56.2,75.5,9.1,13.1,2.3
117,AM,1303569,Rio Preto da Eva,3.0,30.6,4.0,100.0,81.7,3.7,14.6,51.1,79.9,7.3,12,0.8
118,AM,1303601,Santa Isabel do Rio Negro,3.0,22.4,5.3,98.4,86.1,2,11.9,53.5,84.3,5.6,10,0.1
119,AM,1303700,Santo Antônio do Içá,2.9,28.8,4.5,98.9,82.2,17.8,0,52.6,81.5,10.6,7.3,0.6
120,AM,1303809,São Gabriel da Cachoeira,2.9,17.8,4.6,69.4,84.2,5.1,10.7,51.3,81.4,7.9,7.7,3
121,AM,1303908,São Paulo de Olivença,2.8,27.3,3.8,95.3,86,9.3,4.7,61.9,84.6,7.3,7.2,0.9
122,AM,1303957,São Sebastião do Uatumã,3.0,22.9,5.1,98.3,86.3,0.9,12.8,52.9,84.4,5.5,9.1,1
123,AM,1304005,Silves,2.8,16.7,3.8,99.2,85.4,3.1,11.5,52,83.6,6.8,9,0.6
124,AM,1304062,Tabatinga,2.7,28.0,4.0,96.6,81.3,7.4,11.3,57.4,80.2,9.2,9.6,1
125,AM,1304104,Tapauá,3.7,30.0,3.9,100.0,94.4,4.4,1.2,41.4,92.6,2.6,4.1,0.7
126,AM,1304203,Tefé,3.2,24.8,4.4,99.7,78.3,14.7,7,43.5,77.8,10.9,9.1,2.2
127,AM,1304237,Tonantins,3.0,23.4,4.2,98.6,91.6,1.5,6.9,56.1,90.7,3.8,4,1.5
128,AM,1304260,Uarini,2.4,21.2,3.7,100.0,73,27,0,60.1,70.8,12.8,14.9,1.5
129,AM,1304302,Urucará,2.9,26.1,3.8,100.0,80.6,8.1,11.3,49.8,79.4,10.9,9.5,0.2
130,AM,1304401,Urucurituba,3.2,22.6,3.7,99.1,90.3,7.9,1.8,43.2,89.1,4.4,5.3,1.2
131,RR,1400027,Amajari,3.4,12.5,4.2,36.5,77.9,7.2,14.9,37.3,74.2,14.1,7.7,4
132,RR,1400050,Alto Alegre,2.8,14.8,4.2,57.3,80.8,14.3,4.9,26,75.3,9.7,9.4,5.6
133,RR,1400100,Boa Vista,3.3,27.0,4.4,89.3,78.1,13.4,8.5,28.2,70.8,13.9,11.3,4
134,RR,1400159,Bonfim,3.1,13.4,4.2,38.5,79.4,11.3,9.3,28.9,71.7,9.3,11.5,7.5
135,RR,1400209,Caracaraí,3.6,17.5,6.2,94.2,86.7,4.7,8.6,39.2,72.2,5.1,13.7,9
136,RR,1400233,Caroebe,3.2,19.8,4.3,85.1,83.7,8.2,8.1,32.2,77,6.3,14.9,1.8
137,RR,1400282,Iracema,2.8,17.0,4.3,93.9,70.5,18.1,11.4,34.6,70.8,14.6,8.9,5.7
138,RR,1400308,Mucajaí,3.1,24.1,5.2,87.3,81.2,12,6.8,22.9,75,11.2,9,4.8
139,RR,1400472,Rorainópolis,3.1,22.1,5.8,96.6,81,7.9,11.1,30.2,74.5,8.7,12.5,4.3
140,RR,1400506,São João da Baliza,3.0,16.8,4.3,74.1,90.4,2.5,7.1,32.7,87.7,1.5,10.8,0
141,RR,1400605,São Luiz,3.8,15.8,4.3,95.0,96.4,1.4,2.2,21.8,92.3,2.8,3.5,1.4
142,PA,1500107,Abaetetuba,3.1,25.9,4.6,99.8,84.2,7.7,8.1,43.7,82.9,7.4,7.1,2.6
143,PA,1500131,Abel Figueiredo,2.8,33.8,4.1,100.0,77.6,10.9,11.5,53.6,75.8,7.1,17.1,0
144,PA,1500206,Acará,2.5,28.3,4.2,96.6,72.4,6.1,21.5,63.8,71,9.2,18.2,1.6
145,PA,1500347,Água Azul do Norte,2.7,29.3,4.0,100.0,78.6,5.4,16,51.3,73.8,5.7,19.9,0.6
146,PA,1500404,Alenquer,2.7,34.1,4.3,100.0,76.1,8.7,15.2,47.4,70.6,12.3,16.5,0.6
147,PA,1500503,Almeirim,2.1,33.4,4.9,100.0,66.6,18.3,15.1,65.5,65.3,15.1,18.6,1
148,PA,1500602,Altamira,3.3,32.0,4.3,98.9,76.9,13.3,9.8,38.5,69.8,9.2,15.3,5.7
149,PA,1500701,Anajás,2.7,34.4,4.2,100.0,79.2,4.8,16,69.4,79.4,7.3,12.2,1.1
150,PA,1500800,Ananindeua,2.7,34.5,4.3,99.0,74.5,13.8,11.7,49.7,73.4,12.4,10.9,3.3
151,PA,1500859,Anapu,3.2,28.8,4.2,100.0,89.1,3.1,7.8,47,80,5.3,13.4,1.3
152,PA,1500909,Augusto Corrêa,2.5,34.1,4.2,93.0,70.4,13,16.6,60.3,66.4,14.8,17.5,1.3
153,PA,1500958,Aurora do Pará,2.6,28.6,4.1,98.4,75.6,11.2,13.2,64.3,70.6,12.7,16,0.7
154,PA,1501006,Aveiro,2.2,19.1,4.5,100.0,69.1,8.8,22.1,46.8,67.1,9.3,20.7,2.9
155,PA,1501105,Bagre,2.8,40.4,4.1,100.0,77.7,10.5,11.8,72.9,76.2,11.3,12.4,0.1
156,PA,1501204,Baião,2.4,32.2,4.1,100.0,74,17.1,8.9,59,71.4,19.7,7.4,1.5
157,PA,1501253,Bannach,2.8,23.7,4.0,100.0,86.6,4.5,8.9,42.3,83.4,5.1,11.5,0
158,PA,1501303,Barcarena,2.6,35.6,4.2,99.4,72.1,12.4,15.5,58.7,70.6,13.5,13.6,2.3
159,PA,1501402,Belém,2.8,32.9,4.6,99.6,70.5,17.7,11.8,51.2,69.8,14.1,12.4,3.7
160,PA,1501451,Belterra,2.8,26.3,4.3,97.6,80.5,11.6,7.9,52.6,67.3,13.5,15.2,4
161,PA,1501501,Benevides,2.5,39.0,4.2,100.0,68.6,17,14.4,56.3,67.7,13.7,17.3,1.3
162,PA,1501576,Bom Jesus do Tocantins,3.1,20.9,4.0,81.0,79.3,5.1,15.6,57.7,73.4,10.5,15.7,0.4
163,PA,1501600,Bonito,2.2,34.6,4.1,100.0,74.8,14,11.2,63.2,71.6,12,14.9,1.5
164,PA,1501709,Bragança,2.7,30.2,4.2,99.2,72.5,14.5,13,50.3,70.8,12.2,13.7,3.3
165,PA,1501725,Brasil Novo,3.0,26.4,4.3,100.0,86.2,4.5,9.3,38.5,81.9,5.1,10.7,2.3
166,PA,1501782,Breu Branco,2.5,33.3,4.2,100.0,73.8,10.8,15.4,55.3,71.7,13.8,13.3,1.2
167,PA,1501808,Breves,3.3,35.4,4.1,100.0,85.5,6.7,7.8,60.7,83.3,6.2,10.3,0.2
168,PA,1501907,Bujaru,2.6,30.4,4.1,100.0,74.5,10.3,15.2,61.9,73.7,10.4,15.8,0.1
169,PA,1501956,Cachoeira do Piriá,2.7,29.6,4.2,100.0,79.1,11.2,9.7,52.5,72.2,13.1,11.5,3.2
170,PA,1502004,Cachoeira do Arari,2.7,28.5,4.4,92.3,75.6,9.7,14.7,48.1,73.7,9.5,15.1,1.7
171,PA,1502103,Cametá,3.0,31.2,4.4,99.5,80.2,7.4,12.4,52.1,78.3,7,12.8,1.9
172,PA,1502152,Canaã dos Carajás,2.2,37.1,4.2,100.0,67.7,16.9,15.4,41.4,62.5,18.3,16.6,2.6
173,PA,1502202,Capanema,2.6,32.4,4.2,98.3,71.2,13.9,14.9,55.9,70.5,13.8,14.4,1.3
174,PA,1502301,Capitão Poço,3.0,25.7,4.3,96.6,79.6,11,9.4,47.9,77.5,11.8,8.6,2.1
175,PA,1502400,Castanhal,2.6,32.7,4.2,99.8,72.1,12.4,15.5,52.2,68.5,14,14.3,3.2
176,PA,1502509,Chaves,2.8,26.9,4.1,100.0,72.8,24.2,3,63.9,69.4,13.3,15.9,1.4
177,PA,1502608,Colares,3.2,22.9,4.4,96.7,87.6,8.5,3.9,45.2,80.3,6.5,6.7,6.5
178,PA,1502707,Conceição do Araguaia,2.5,26.9,4.4,100.0,76.4,10.5,13.1,54.3,75.6,9.2,13.9,1.3
179,PA,1502756,Concórdia do Pará,2.4,34.8,4.0,100.0,76.7,10.5,12.8,66.3,74.9,10.9,13.7,0.5
180,PA,1502764,Cumaru do Norte,2.1,17.0,4.1,100.0,72.2,7.7,20.1,50,73.9,9.9,15.5,0.7
181,PA,1502772,Curionópolis,2.3,34.3,4.2,100.0,68.6,6.9,24.5,44.6,67,17.2,15.1,0.7
182,PA,1502806,Curralinho,2.3,33.1,4.2,100.0,66.1,31.2,2.7,67.9,67.7,16.4,14.7,1.2
183,PA,1502855,Curuá,2.9,34.7,4.2,100.0,89.1,2.7,8.2,44.4,86.2,5,8.8,0
184,PA,1502905,Curuçá,2.6,31.0,4.3,96.9,70.1,15.3,14.6,58.1,66.9,15.2,17,0.9
185,PA,1502939,Dom Eliseu,2.2,31.7,4.1,100.0,56.6,24.6,18.8,51.2,53.5,21.9,23.4,1.2
186,PA,1502954,Eldorado do Carajás,2.3,33.2,4.1,100.0,75.6,14.2,10.2,49.1,68.9,12.9,18,0.2
187,PA,1503002,Faro,3.2,26.3,4.5,100.0,82.8,10.2,7,44.6,79.9,6.5,8.2,5.4
188,PA,1503044,Floresta do Araguaia,2.9,24.1,4.2,100.0,82.5,1.5,16,53,76.3,7.5,14.7,1.5
189,PA,1503077,Garrafão do Norte,2.6,35.9,4.1,97.9,78.6,5.9,15.5,62,74.2,8.1,17.2,0.5
190,PA,1503093,Goianésia do Pará,2.8,29.6,4.1,100.0,81,5.2,13.8,60.3,71,7.5,20.5,1
191,PA,1503101,Gurupá,2.0,37.0,4.1,91.7,64.2,35.5,0.3,63.6,65.3,17.6,16.8,0.3
192,PA,1503200,Igarapé-Açu,2.6,27.6,4.5,98.6,74.6,16.2,9.2,49.8,73.3,13.9,10.1,2.7
193,PA,1503309,Igarapé-Miri,2.9,29.6,4.9,100.0,80.7,12.7,6.6,50,79.2,9.2,10.2,1.4
194,PA,1503408,Inhangapi,2.3,28.7,4.3,100.0,75.4,7.5,17.1,51.7,77.8,8,12.4,1.8
195,PA,1503457,Ipixuna do Pará,2.3,35.9,3.9,87.7,66.2,13.5,20.3,62.8,63.7,13,22.1,1.2
196,PA,1503507,Irituia,3.0,29.3,4.1,100.0,79.5,11.7,8.8,55.9,75.7,10.1,12.9,1.3
197,PA,1503606,Itaituba,2.8,29.9,4.2,97.6,71.1,10.9,18,50.3,66.8,10,17.6,5.6
198,PA,1503705,Itupiranga,2.8,35.3,4.1,98.7,81.6,7.2,11.2,47.6,77.1,8.5,13.7,0.7
199,PA,1503804,Jacundá,2.3,31.5,4.0,98.7,72.9,6,21.1,59.2,70.6,13.1,15.7,0.6
200,PA,1503903,Juruti,2.8,37.2,4.0,100.0,77.8,7.9,14.3,54.3,72.3,9.7,15.2,2.8
201,PA,1504000,Limoeiro do Ajuru,3.0,29.5,4.5,100.0,82.7,6.5,10.8,49.2,83.1,3.5,12.3,1.1
202,PA,1504059,Mãe do Rio,2.8,31.6,4.2,94.9,78.8,10.5,10.7,55.6,74.2,9.4,13.2,3.2
203,PA,1504208,Marabá,2.8,32.1,4.6,98.5,80.6,6.7,12.7,46.3,75.3,10.4,13.3,1
204,PA,1504307,Maracanã,2.6,26.6,4.1,100.0,77.8,5.8,16.4,60.1,72.8,8.6,16.7,1.9
205,PA,1504406,Marapanim,2.4,31.3,4.2,100.0,73.9,14.4,11.7,59.7,71.7,18.7,9.3,0.3
206,PA,1504422,Marituba,2.7,35.3,4.3,98.9,69.6,19.7,10.7,47.9,68.2,15.5,13.5,2.8
207,PA,1504455,Medicilândia,2.3,27.9,4.1,92.9,66.1,13.5,20.4,55,66.3,12.7,18.6,2.4
208,PA,1504604,Mocajuba,2.3,34.2,4.4,98.0,65.2,14,20.8,57.1,65.5,17.2,15,2.3
209,PA,1504703,Moju,2.5,32.5,4.1,100.0,75.3,11.3,13.4,64.2,72.5,10.1,17.1,0.3
210,PA,1504752,Mojuí dos Campos,3.0,26.8,4.4,100.0,89.4,2.3,8.3,35.8,79.9,5,13.8,1.3
211,PA,1504802,Monte Alegre,3.1,30.1,4.6,99.5,80.6,5.1,14.3,41.3,78,7.7,11.8,2.5
212,PA,1504901,Muaná,2.5,32.2,4.3,100.0,75.7,10.3,14,59.6,74.4,11.2,14,0.4
213,PA,1504950,Nova Esperança do Piriá,2.5,31.9,4.1,96.6,77.7,8.7,13.6,58.4,73,11.8,14.5,0.7
214,PA,1504976,Nova Ipixuna,3.2,32.5,4.1,93.3,80.6,2.8,16.6,48.8,76.2,10.6,12.7,0.5
215,PA,1505007,Nova Timboteua,3.1,37.1,4.3,100.0,78.4,7.6,14,51.9,77.4,9.9,12.4,0.3
216,PA,1505031,Novo Progresso,2.7,30.2,4.1,100.0,70.5,6.2,23.3,45.9,69.2,12.4,17.4,1
217,PA,1505064,Novo Repartimento,2.6,28.1,4.1,96.7,79.7,3.7,16.6,51.4,75.3,6.8,16.1,1.8
218,PA,1505106,Óbidos,2.4,25.2,4.4,98.9,71,14.4,14.6,56.7,63.6,16.8,18.6,1
